month-year,rsi-3-SPXL->-23-1-ERY
2017-04,[3.21455893e+02 4.50000000e-01 3.21455893e+08 1.08201428e+00]
2017-05,[2.27897362e+02 6.66666667e-01 5.74301353e+03 1.07071181e+00]
2017-06,[2.74087968e+02 2.72727273e-01 3.67277877e+04 1.08276798e+00]
2017-07,[ 34.02805144   0.6        561.87782501   1.01617762]
2017-08,[1.52652971e+02 3.04347826e-01 1.52652971e+08 1.06014325e+00]
2017-09,[-9.61405820e+01  3.80952381e-01 -5.62992875e+02  8.29233040e-01]
2017-10,[7.70475563e+01 4.28571429e-01 1.39712902e+04 1.03341240e+00]
2017-11,[-9.05801032e+01  5.71428571e-01 -6.51182681e+02  8.72916129e-01]
2017-12,[ -97.71242131    0.57142857 -500.19593001    0.80465171]
2018-01,[ -60.78467699    0.9        -350.74401455    0.95      ]
2018-02,[2.99317107e+02 4.73684211e-01 1.10607494e+04 1.07473522e+00]
2018-03,[1.00086112e+02 5.90909091e-01 5.25826133e+03 1.04269080e+00]
2018-04,[ -98.64527249    0.8        -399.31606306    0.7900157 ]
2018-05,[-12.28996881   0.63636364 -74.63539994   0.99212719]
2018-06,[-5.04156308e+01  4.09090909e-01 -1.21775560e+03  9.58599549e-01]
2018-07,[ -41.80106641    0.8        -666.68477696    0.97077511]
2018-08,[1.31024464e+02 7.82608696e-01 1.31024464e+08 1.05418161e+00]
2018-09,[-7.49490638e+01  4.00000000e-01 -9.17584697e+02  9.26955418e-01]
2018-10,[  -9.51458889    0.40909091 -135.61789302    0.99399184]
2018-11,[ -32.38720208    0.71428571 -231.26486487    0.97773428]
2018-12,[2.99228471e+02 4.73684211e-01 4.86246266e+03 1.07472280e+00]
2019-01,[ -98.72930864    0.9047619  -416.56671215    0.77788854]
2019-02,[ -84.70898937    0.84210526 -652.56225557    0.906872  ]
2019-03,[ 10.89212573   0.72727273 259.15937331   1.00625104]
2019-04,[2.02003512e+02 7.00000000e-01 2.58043196e+03 1.06243416e+00]
2019-05,[6.17960475e+03 6.36363636e-01 6.17960475e+09 1.28341917e+00]
2019-06,[ -90.40577351    0.80952381 -539.75983891    0.87383756]
2019-07,[2.58726414e+02 8.57142857e-01 5.42031836e+04 1.07626171e+00]
2019-08,[1.54769691e+02 7.82608696e-01 2.95704492e+03 1.06070074e+00]
2019-09,[ -98.1590367     0.63157895 -387.40015406    0.81224544]
2019-10,[7.23919753e+02 8.69565217e-01 7.23919753e+08 1.14212410e+00]
