branch,back_cagr,back_days_in_market,back_calmar,back_gross_return_percent,forward_cagr,forward_days_in_market,forward_calmar,forward_gross_return_percent
rsi-11-SPXL-<-75-1-ERY,348.5895614924885,0.5794654760265356,125212362.1797058,-89.58298924764851,386.95215903842444,0.7297271859301935,45194569.63947418,-75.10487566082351
rsi-13-SPXL-<-83-1-ERY,452.56693717232525,0.6443352787134009,125093053.24185622,-91.44057607068291,699.6620748608428,0.8461728266648175,39223194.82163548,-77.11683376393526
rsi-13-SPXL-<-81-1-ERY,452.56693717232525,0.6443352787134009,125093053.24185622,-91.44057607068291,699.6620748608428,0.8461728266648175,39223194.82163548,-77.11683376393526
rsi-13-SPXL-<-82-1-ERY,452.56693717232525,0.6443352787134009,125093053.24185622,-91.44057607068291,699.6620748608428,0.8461728266648175,39223194.82163548,-77.11683376393526
rsi-13-SPXL-<-95-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-99-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-92-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-97-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-86-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.3353196828667,0.8553668072873696,39223132.46456059,-77.57755898300796
rsi-13-SPXL-<-91-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-94-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-90-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-98-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-96-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-89-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-93-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.4731418838549,0.8637001406207029,39223134.01814381,-76.58270317585078
rsi-13-SPXL-<-84-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.2511909050224,0.8495793407856175,39223131.95139221,-78.19663554723313
rsi-13-SPXL-<-85-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.2511909050224,0.8495793407856175,39223131.95139221,-78.19663554723313
rsi-13-SPXL-<-88-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.5147007846384,0.8589382358587981,39223133.12282392,-76.38591916892516
rsi-13-SPXL-<-87-1-ERY,451.87969273070576,0.6478564054739644,125093042.01752488,-91.62793673273018,698.3353196828667,0.8553668072873696,39223132.46456059,-77.57755898300796
rsi-7-SPXL-<-78-1-ERY,275.091317923928,0.47422000277094234,124592788.54603195,-84.01375545052773,411.393926311061,0.6860854611590146,153139123.46070343,-64.69104408616415
rsi-7-SPXL-<-80-1-ERY,275.091317923928,0.47422000277094234,124592788.54603195,-84.01375545052773,411.393926311061,0.6860854611590146,153139123.46070343,-64.69104408616415
rsi-7-SPXL-<-76-1-ERY,275.091317923928,0.47422000277094234,124592788.54603195,-84.01375545052773,411.393926311061,0.6860854611590146,153139123.46070343,-64.69104408616415
rsi-7-SPXL-<-79-1-ERY,275.091317923928,0.47422000277094234,124592788.54603195,-84.01375545052773,411.393926311061,0.6860854611590146,153139123.46070343,-64.69104408616415
rsi-7-SPXL-<-77-1-ERY,275.091317923928,0.47422000277094234,124592788.54603195,-84.01375545052773,411.393926311061,0.6860854611590146,153139123.46070343,-64.69104408616415
