branch,back_period_returns,forward_period_returns
rsi-4-SPXL-<-93-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-94-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-95-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-96-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-97-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-98-1-SPXL,573.7857975055624,4.432921397936237
rsi-4-SPXL-<-99-1-SPXL,573.7857975055624,4.432921397936237
rsi-3-SPXL-<-75-1-SPXL,537.733121980466,3.052209005556406
rsi-3-SPXL-<-81-1-SPXL,527.0267498107817,5.208355526260528
rsi-3-SPXL-<-82-1-SPXL,527.0267498107817,5.362677171483061
rsi-3-SPXL-<-83-1-SPXL,527.0267498107817,5.362677171483061
