date,trade_returns_day
2010-10-16,1.0
2010-10-19,1.0
2010-10-20,1.0
2010-10-21,1.0
2010-10-22,1.0
2010-10-23,1.0
2010-10-26,1.0
2010-10-27,1.0
2010-10-28,1.0
2010-10-29,1.0
2010-10-30,1.0
2010-11-02,1.0
2010-11-03,1.0
2010-11-04,1.0
2010-11-05,1.0
2010-11-06,1.0
2010-11-09,1.0
2010-11-10,1.0
2010-11-11,1.0
2010-11-12,1.0
2010-11-13,1.0
2010-11-16,1.0
2010-11-17,1.0
2010-11-18,1.0093023255813953
2010-11-19,1.0622119815668203
2010-11-20,1.0
2010-11-23,1.0
2010-11-24,1.0
2010-11-25,1.0521541950113378
2010-11-27,0.9676724137931034
2010-11-30,1.0
2010-12-01,1.0
2010-12-02,1.0844444444444445
2010-12-03,1.0430327868852458
2010-12-04,1.0
2010-12-07,1.0
2010-12-08,1.0
2010-12-09,1.0
2010-12-10,1.0
2010-12-11,1.0
2010-12-14,1.0
2010-12-15,1.0
2010-12-16,1.0
2010-12-17,1.0
2010-12-18,1.0
2010-12-21,1.0
2010-12-22,1.0
2010-12-23,1.0
2010-12-24,1.0
2010-12-28,1.0
2010-12-29,1.0
2010-12-30,1.0
2010-12-31,1.0
2011-01-01,1.0
2011-01-04,1.0
2011-01-05,1.0
2011-01-06,1.0
2011-01-07,1.0
2011-01-08,1.0
2011-01-11,1.0
2011-01-12,1.0
2011-01-13,1.0
2011-01-14,1.0
2011-01-15,1.0
2011-01-19,1.0
2011-01-20,1.0
2011-01-21,1.0
2011-01-22,1.0
2011-01-25,1.0
2011-01-26,1.0
2011-01-27,1.0
2011-01-28,1.0
2011-01-29,1.0
2011-02-01,1.0
2011-02-02,1.0
2011-02-03,1.0
2011-02-04,1.0
2011-02-05,1.0
2011-02-08,1.0
2011-02-09,1.0
2011-02-10,1.0
2011-02-11,1.0
2011-02-12,1.0
2011-02-15,1.0
2011-02-16,1.0
2011-02-17,1.0
2011-02-18,1.0
2011-02-19,1.0
2011-02-23,1.0
2011-02-24,1.0557620817843867
2011-02-25,0.9589201877934272
2011-02-26,1.0
2011-03-01,1.0
2011-03-02,1.0
2011-03-03,1.0121506682867558
2011-03-04,1.0444177671068426
2011-03-05,1.0
2011-03-08,0.9801169590643275
2011-03-09,0.9797136038186157
2011-03-10,1.0
2011-03-11,1.0
2011-03-12,1.0
2011-03-15,1.0
2011-03-16,1.0
2011-03-17,1.0
2011-03-18,1.0875706214689265
2011-03-19,0.9922077922077922
2011-03-22,1.0
2011-03-23,1.0
2011-03-24,1.0
2011-03-25,1.0
2011-03-26,1.0
2011-03-29,1.0
2011-03-30,1.0
2011-03-31,1.0
2011-04-01,1.0
2011-04-02,1.0089186176142697
2011-04-05,1.0011049723756906
2011-04-06,1.0
2011-04-07,1.0
2011-04-08,1.0
2011-04-09,1.0
2011-04-12,1.0
2011-04-13,0.910377358490566
2011-04-14,1.005181347150259
2011-04-15,1.0
2011-04-16,1.0
2011-04-19,1.0
2011-04-20,1.0
2011-04-21,1.0
2011-04-22,1.0
2011-04-26,1.0
2011-04-27,1.0
2011-04-28,1.0
2011-04-29,1.0
2011-04-30,1.0
2011-05-03,1.0
2011-05-04,1.0
2011-05-05,1.0
2011-05-06,1.0
2011-05-07,1.0
2011-05-10,1.0
2011-05-11,1.0
2011-05-12,1.0
2011-05-13,1.0
2011-05-14,1.0
2011-05-17,1.0
2011-05-18,1.0
2011-05-19,1.0
2011-05-20,1.0
2011-05-21,1.0
2011-05-24,1.0
2011-05-25,1.0375722543352601
2011-05-26,1.043175487465181
2011-05-27,1.0
2011-05-28,1.0
2011-06-01,1.0
2011-06-02,1.0
2011-06-03,0.9932249322493225
2011-06-04,1.0013642564802183
2011-06-07,1.0
2011-06-08,1.0
2011-06-09,1.0
2011-06-10,1.0
2011-06-11,1.0
2011-06-14,1.0
2011-06-15,1.0
2011-06-16,1.0
2011-06-17,1.0
2011-06-18,1.0
2011-06-21,1.0
2011-06-22,1.0
2011-06-23,1.0
2011-06-24,1.0
2011-06-25,1.0
2011-06-28,1.0
2011-06-29,1.0
2011-06-30,1.0
2011-07-01,1.0
2011-07-02,1.0
2011-07-06,1.0
2011-07-07,1.0
2011-07-08,1.0
2011-07-09,1.0
2011-07-12,1.0
2011-07-13,0.9917582417582418
2011-07-14,1.020775623268698
2011-07-15,1.0
2011-07-16,1.0
2011-07-19,1.0
2011-07-20,1.0
2011-07-21,1.0
2011-07-22,1.0
2011-07-23,1.0
2011-07-26,1.0
2011-07-27,1.0
2011-07-28,1.0
2011-07-29,0.9773299748110831
2011-07-30,0.970360824742268
2011-08-02,1.0
2011-08-03,1.0
2011-08-04,0.9840116279069767
